time,loss,mse_loss,val_loss,val_mse_loss,lr
268.0955390930176,0.956,1.986,0.727,1.574,1.0000e-04
252.8032464981079,0.731,1.583,0.726,1.575,9.9901e-05
252.4977831840515,0.727,1.576,0.711,1.534,9.9606e-05
253.64858961105347,0.708,1.549,0.657,1.463,9.9114e-05
251.7382254600525,0.264,1.040,0.153,0.804,9.8429e-05
252.5194799900055,-0.396,0.494,0.276,0.667,9.7553e-05
252.45734000205994,-0.632,0.353,0.072,0.490,9.6489e-05
253.44896292686462,-0.731,0.309,-0.425,0.334,9.5241e-05
236.18607306480408,-0.822,0.281,-0.369,0.452,9.3815e-05
238.1223475933075,-0.916,0.240,0.878,0.409,9.2216e-05
237.33638739585876,-0.860,0.270,-0.429,0.374,9.0451e-05
235.89628911018372,-0.970,0.234,-0.070,0.281,8.8526e-05
236.4784712791443,-0.988,0.224,0.303,0.405,8.6448e-05
236.23646235466003,-1.041,0.210,-0.208,0.310,8.4227e-05
235.82363152503967,-1.083,0.204,0.229,0.333,8.1871e-05
235.46161675453186,-1.113,0.190,0.035,0.302,7.9389e-05
234.3020043373108,-1.110,0.192,0.155,0.497,7.6791e-05
235.48034119606018,-1.145,0.176,-0.624,0.255,7.4088e-05
235.61240649223328,-1.148,0.196,-0.028,0.437,7.1289e-05
235.23493552207947,-1.167,0.192,-0.720,0.231,6.8406e-05
235.69303035736084,-1.180,0.186,-0.678,0.306,6.5451e-05
235.83271265029907,-1.203,0.180,-0.402,0.291,6.2435e-05
235.36035203933716,-1.204,0.182,-0.660,0.283,5.9369e-05
235.49729371070862,-1.266,0.169,-0.076,0.333,5.6267e-05
235.46755027770996,-1.248,0.170,-0.512,0.364,5.3140e-05
238.14738869667053,-1.265,0.167,0.990,0.322,5.0000e-05
240.86030745506287,-1.262,0.161,-0.380,0.266,4.6861e-05
236.0992751121521,-1.255,0.176,-0.152,0.305,4.3733e-05
235.50280332565308,-1.323,0.159,-0.465,0.267,4.0631e-05
234.14488863945007,-1.306,0.161,-0.635,0.197,3.7566e-05
234.87225580215454,-1.306,0.156,-0.753,0.270,3.4549e-05
235.23116636276245,-1.300,0.172,-0.524,0.230,3.1594e-05
235.383403301239,-1.287,0.170,-0.078,0.217,2.8711e-05
235.6395139694214,-1.329,0.161,-0.221,0.245,2.5912e-05
235.45571517944336,-1.348,0.156,-0.596,0.226,2.3209e-05
235.10849237442017,-1.327,0.163,-0.662,0.303,2.0611e-05
235.0285143852234,-1.334,0.154,-0.133,0.270,1.8129e-05
235.15061688423157,-1.261,0.171,-0.232,0.220,1.5773e-05
234.1406605243683,-1.309,0.165,0.028,0.344,1.3552e-05
234.9646806716919,-1.321,0.159,-0.803,0.206,1.1474e-05
234.34499382972717,-1.323,0.173,0.164,0.352,9.5492e-06
235.39884662628174,-1.168,0.178,-0.655,0.286,7.7837e-06
235.7269411087036,-1.195,0.185,0.262,0.325,6.1848e-06
239.93437385559082,-1.274,0.176,-0.815,0.231,4.7587e-06
237.87433624267578,-1.157,0.192,-0.287,0.359,3.5113e-06
236.17139887809753,-1.201,0.184,-0.442,0.249,2.4473e-06
234.63308715820312,-1.110,0.188,-0.365,0.249,1.5709e-06
235.3679575920105,-0.954,0.234,-0.554,0.335,8.8574e-07
234.7336277961731,-0.950,0.248,-0.560,0.350,3.9436e-07
235.69889068603516,-0.799,0.290,-0.489,0.417,9.8763e-08
238.99222803115845,-0.894,0.262,0.642,0.498,1.0000e-04
235.0434718132019,-1.021,0.219,-0.431,0.270,9.9901e-05
236.10842418670654,-1.039,0.213,-0.083,0.316,9.9606e-05
235.49013829231262,-1.075,0.210,-0.493,0.237,9.9114e-05
235.0231900215149,-1.142,0.195,-0.329,0.287,9.8429e-05
234.93894505500793,-1.117,0.192,-0.441,0.285,9.7553e-05
235.09348797798157,-1.178,0.184,-0.782,0.262,9.6489e-05
234.0159318447113,-1.207,0.184,-0.534,0.243,9.5241e-05
235.51158905029297,-1.219,0.181,-0.505,0.313,9.3815e-05
235.11865663528442,-1.218,0.173,-0.566,0.218,9.2216e-05
236.66875910758972,-1.247,0.172,-0.941,0.209,9.0451e-05
236.4963276386261,-1.264,0.171,-0.486,0.256,8.8526e-05
234.7259967327118,-1.271,0.179,-0.515,0.226,8.6448e-05
236.3337869644165,-1.289,0.170,-0.439,0.274,8.4227e-05
235.76163458824158,-1.267,0.169,-0.253,0.259,8.1871e-05
236.17482924461365,-1.287,0.170,-0.040,0.289,7.9389e-05
235.35507106781006,-1.320,0.166,-0.408,0.240,7.6791e-05
236.09409546852112,-1.355,0.155,-0.802,0.204,7.4088e-05
234.84970140457153,-1.347,0.157,-0.436,0.234,7.1289e-05
235.7097864151001,-1.370,0.151,-0.204,0.269,6.8406e-05
235.01871609687805,-1.359,0.156,-0.508,0.250,6.5451e-05
235.39705681800842,-1.382,0.152,-0.232,0.327,6.2435e-05
235.6735541820526,-1.376,0.154,0.095,0.238,5.9369e-05
235.72464990615845,-1.389,0.151,-0.640,0.248,5.6267e-05
235.4145519733429,-1.381,0.157,-0.498,0.215,5.3140e-05
237.9213833808899,-1.398,0.150,-0.503,0.232,5.0000e-05
236.1391589641571,-1.434,0.151,-0.156,0.393,4.6861e-05
235.03995847702026,-1.442,0.147,-0.268,0.213,4.3733e-05
235.1929051876068,-1.425,0.146,-0.683,0.219,4.0631e-05
235.6570212841034,-1.407,0.147,-0.579,0.252,3.7566e-05
