time,loss,mse_loss,val_loss,val_mse_loss,lr
102.92741179466248,1.715,0.762,4.714,4.124,1.0000e-10
1.5771472454071045,1.723,0.787,4.672,4.097,1.9609e-06
1.1601195335388184,1.692,0.820,4.596,4.042,3.9217e-06
1.1607170104980469,1.559,0.600,4.483,3.964,5.8824e-06
1.1584968566894531,1.276,0.598,4.342,3.875,7.8432e-06
1.1586172580718994,1.255,0.592,4.183,3.790,9.8040e-06
1.1590237617492676,1.060,0.522,4.004,3.693,1.1765e-05
1.159130573272705,0.956,0.623,3.807,3.582,1.3726e-05
1.158972978591919,1.195,0.617,3.593,3.467,1.5686e-05
1.1593523025512695,0.705,0.545,3.368,3.345,1.7647e-05
1.1590664386749268,0.760,0.496,3.116,3.225,1.9608e-05
1.1588797569274902,0.565,0.412,2.853,3.103,2.1569e-05
1.1590373516082764,0.467,0.445,2.570,2.972,2.3529e-05
1.1594972610473633,-0.049,0.424,2.288,2.838,2.5490e-05
1.160043478012085,-0.023,0.376,2.007,2.713,2.7451e-05
1.1585044860839844,-0.101,0.305,1.722,2.583,2.9412e-05
1.1600816249847412,-0.218,0.309,1.456,2.455,3.1373e-05
1.171433448791504,-0.256,0.360,1.216,2.324,3.3333e-05
1.1610949039459229,-0.162,0.331,1.007,2.216,3.5294e-05
1.1590101718902588,-0.121,0.418,0.828,2.126,3.7255e-05
3.2588021755218506,-0.331,0.237,0.684,2.068,3.9216e-05
1.1534030437469482,-0.246,0.354,0.577,2.037,4.1177e-05
1.1534547805786133,-0.378,0.217,0.500,2.022,4.3137e-05
1.1525001525878906,-0.354,0.395,0.456,2.041,4.5098e-05
1.1516189575195312,-0.390,0.182,0.434,2.069,4.7059e-05
1.1511445045471191,-0.400,0.218,0.429,2.099,4.9020e-05
1.1508800983428955,-0.495,0.194,0.447,2.146,5.0980e-05
1.153266191482544,-0.341,0.275,0.474,2.184,5.2941e-05
1.1591382026672363,-0.395,0.317,0.505,2.189,5.4902e-05
1.1518595218658447,-0.491,0.239,0.524,2.149,5.6863e-05
1.1518175601959229,-0.544,0.266,0.551,2.107,5.8824e-05
1.1525020599365234,-0.483,0.206,0.616,2.113,6.0784e-05
1.1521074771881104,-0.590,0.193,0.724,2.157,6.2745e-05
1.1519038677215576,-0.499,0.218,0.874,2.217,6.4706e-05
1.15177583694458,-0.591,0.151,1.060,2.284,6.6667e-05
1.152543067932129,-0.583,0.189,1.257,2.345,6.8627e-05
1.1515130996704102,-0.657,0.209,1.407,2.358,7.0588e-05
1.1522645950317383,-0.558,0.207,1.471,2.322,7.2549e-05
1.1529383659362793,-0.555,0.151,1.407,2.236,7.4510e-05
1.1516993045806885,-0.549,0.204,1.246,2.113,7.6471e-05
1.9677670001983643,-0.704,0.157,1.057,1.985,7.8431e-05
1.1520800590515137,-0.765,0.116,0.892,1.858,8.0392e-05
1.1512751579284668,-0.726,0.150,0.761,1.741,8.2353e-05
1.154341697692871,-0.785,0.133,0.671,1.641,8.4314e-05
1.154085397720337,-0.828,0.122,0.604,1.539,8.6275e-05
1.1542611122131348,-0.870,0.138,0.536,1.427,8.8235e-05
1.153977394104004,-0.869,0.130,0.465,1.316,9.0196e-05
1.1548881530761719,-0.871,0.097,0.422,1.241,9.2157e-05
1.1543068885803223,-0.891,0.124,0.420,1.211,9.4118e-05
1.1539373397827148,-0.902,0.107,0.454,1.226,9.6078e-05
1.1548023223876953,-0.889,0.110,0.503,1.271,9.8039e-05
1.1549482345581055,-0.940,0.083,0.566,1.344,1.0000e-04
1.1558630466461182,-0.934,0.098,0.609,1.403,9.9999e-05
1.1543779373168945,-0.953,0.093,0.617,1.415,9.9996e-05
1.1545376777648926,-0.994,0.095,0.587,1.392,9.9991e-05
1.1561262607574463,-0.965,0.078,0.500,1.319,9.9984e-05
1.1546046733856201,-0.968,0.074,0.401,1.219,9.9975e-05
1.1549031734466553,-1.079,0.065,0.304,1.125,9.9964e-05
1.155060052871704,-1.009,0.094,0.231,1.041,9.9952e-05
1.1552605628967285,-1.096,0.090,0.180,0.970,9.9937e-05
1.2938611507415771,-1.073,0.083,0.149,0.922,9.9920e-05
1.1510810852050781,-0.920,0.111,0.131,0.885,9.9901e-05
1.1522815227508545,-1.033,0.078,0.141,0.869,9.9881e-05
1.151660680770874,-1.170,0.056,0.169,0.864,9.9858e-05
1.1497831344604492,-1.179,0.049,0.193,0.863,9.9833e-05
1.1529693603515625,-1.108,0.064,0.186,0.829,9.9807e-05
1.150841474533081,-1.139,0.073,0.158,0.777,9.9778e-05
1.1508417129516602,-1.121,0.059,0.091,0.694,9.9748e-05
1.150467872619629,-1.116,0.100,-0.008,0.607,9.9715e-05
1.1510496139526367,-1.137,0.091,-0.150,0.509,9.9681e-05
1.1501281261444092,-1.259,0.050,-0.235,0.442,9.9644e-05
