time,loss,mse_loss,val_loss,val_mse_loss,lr
116.68635511398315,9.998,0.869,14.264,5.954,1.0000e-10
4.019660472869873,6.375,0.825,14.272,5.958,1.9609e-06
81.94624710083008,6.312,1.042,13.723,5.854,3.9217e-06
1.162653923034668,5.611,0.849,12.930,5.675,5.8824e-06
1.1609714031219482,6.148,0.517,12.926,5.674,7.8432e-06
1.1590385437011719,6.512,0.707,11.669,5.368,9.8040e-06
1.159188985824585,7.103,0.699,10.247,4.978,1.1765e-05
1.1641342639923096,5.936,0.616,8.725,4.539,1.3726e-05
1.1630280017852783,3.679,0.772,7.239,4.069,1.5686e-05
1.1636741161346436,2.724,0.579,5.880,3.597,1.7647e-05
1.1568999290466309,2.964,0.781,4.659,3.125,1.9608e-05
1.1607697010040283,2.964,0.564,3.610,2.646,2.1569e-05
1.1593739986419678,1.887,0.511,2.806,2.232,2.3529e-05
1.1602318286895752,1.372,0.589,2.236,1.889,2.5490e-05
1.166133165359497,1.443,0.442,1.843,1.616,2.7451e-05
1.1619312763214111,1.769,0.852,1.587,1.407,2.9412e-05
1.1618998050689697,1.724,0.427,1.414,1.282,3.1373e-05
1.1638798713684082,1.986,0.830,1.280,1.200,3.3333e-05
1.2693910598754883,1.187,0.570,1.169,1.160,3.5294e-05
1.1605737209320068,1.616,0.828,1.066,1.157,3.7255e-05
1.1612493991851807,0.664,0.554,0.972,1.170,3.9216e-05
1.1645195484161377,1.307,0.870,0.881,1.211,4.1177e-05
1.1636109352111816,0.761,0.822,0.806,1.250,4.3137e-05
1.1627955436706543,0.841,0.767,0.739,1.312,4.5098e-05
1.1597516536712646,0.469,0.604,0.684,1.395,4.7059e-05
1.1630582809448242,0.480,0.747,0.641,1.481,4.9020e-05
1.1607866287231445,0.502,0.749,0.613,1.586,5.0980e-05
1.1790902614593506,0.138,0.452,0.592,1.689,5.2941e-05
1.158141851425171,0.078,0.395,0.582,1.799,5.4902e-05
1.1671128273010254,0.186,0.766,0.571,1.882,5.6863e-05
1.164754867553711,0.033,0.597,0.563,1.963,5.8824e-05
1.1636323928833008,-0.000,0.491,0.557,2.040,6.0784e-05
1.164304494857788,0.049,0.642,0.552,2.092,6.2745e-05
1.1641051769256592,0.069,0.797,0.546,2.134,6.4706e-05
1.1633846759796143,0.352,0.710,0.528,2.119,6.6667e-05
1.1615850925445557,0.108,0.617,0.504,2.069,6.8627e-05
1.1635878086090088,0.189,0.913,0.483,2.010,7.0588e-05
1.1638696193695068,0.134,0.350,0.456,1.927,7.2549e-05
1.1644065380096436,-0.007,0.296,0.427,1.805,7.4510e-05
1.1626601219177246,-0.034,0.414,0.399,1.673,7.6471e-05
1.1702635288238525,0.003,0.648,0.375,1.564,7.8431e-05
1.1628026962280273,-0.228,0.332,0.357,1.481,8.0392e-05
1.1583325862884521,-0.099,0.631,0.342,1.404,8.2353e-05
1.1580047607421875,-0.223,0.551,0.329,1.341,8.4314e-05
1.1619248390197754,-0.040,0.327,0.318,1.282,8.6275e-05
1.1629219055175781,-0.087,0.382,0.306,1.226,8.8235e-05
1.162259817123413,-0.043,0.472,0.295,1.173,9.0196e-05
1.1582236289978027,-0.280,0.427,0.284,1.128,9.2157e-05
1.158949851989746,-0.278,0.418,0.271,1.093,9.4118e-05
1.1629047393798828,-0.276,0.400,0.259,1.068,9.6078e-05
1.1596605777740479,-0.226,0.314,0.246,1.045,9.8039e-05
1.1651995182037354,-0.321,0.206,0.233,1.028,1.0000e-04
1.160207748413086,-0.322,0.244,0.217,1.011,9.9999e-05
1.1658177375793457,-0.331,0.235,0.202,0.996,9.9996e-05
1.167234182357788,-0.186,0.325,0.187,0.982,9.9991e-05
1.1618480682373047,-0.288,0.319,0.174,0.971,9.9984e-05
1.1611645221710205,-0.174,0.485,0.163,0.966,9.9975e-05
1.1588726043701172,-0.400,0.155,0.154,0.971,9.9964e-05
1.162510633468628,-0.360,0.214,0.145,0.973,9.9952e-05
1.1622867584228516,-0.336,0.339,0.137,0.978,9.9937e-05
1.164287805557251,-0.254,0.278,0.127,0.983,9.9920e-05
1.1663992404937744,-0.285,0.320,0.121,0.992,9.9901e-05
1.1672077178955078,-0.334,0.252,0.118,1.007,9.9881e-05
1.165923833847046,-0.370,0.261,0.120,1.022,9.9858e-05
1.1628179550170898,-0.440,0.180,0.128,1.046,9.9833e-05
1.4198908805847168,-0.420,0.216,0.143,1.082,9.9807e-05
1.1689729690551758,-0.487,0.228,0.152,1.107,9.9778e-05
1.1595308780670166,-0.532,0.227,0.150,1.118,9.9748e-05
1.1626379489898682,-0.422,0.266,0.151,1.132,9.9715e-05
1.1608808040618896,-0.452,0.234,0.142,1.135,9.9681e-05
1.1603021621704102,-0.558,0.147,0.138,1.146,9.9644e-05
1.163677453994751,-0.619,0.199,0.134,1.154,9.9606e-05
1.1650452613830566,-0.728,0.096,0.139,1.172,9.9565e-05
1.1648600101470947,-0.605,0.161,0.137,1.174,9.9523e-05
1.1617655754089355,-0.567,0.134,0.137,1.176,9.9479e-05
1.1578543186187744,-0.646,0.166,0.120,1.148,9.9433e-05
1.1614346504211426,-0.714,0.148,0.100,1.112,9.9384e-05
1.1600594520568848,-0.658,0.132,0.072,1.063,9.9334e-05
1.1589834690093994,-0.734,0.138,0.044,1.016,9.9282e-05
1.1603069305419922,-0.640,0.152,0.010,0.958,9.9228e-05
1.158144235610962,-0.694,0.138,-0.019,0.914,9.9172e-05
1.165147066116333,-0.732,0.135,-0.044,0.878,9.9114e-05
1.1658244132995605,-0.617,0.193,-0.062,0.852,9.9055e-05
1.1647686958312988,-0.758,0.117,-0.076,0.831,9.8993e-05
1.162590742111206,-0.657,0.155,-0.080,0.829,9.8929e-05
1.164381980895996,-0.727,0.125,-0.077,0.843,9.8863e-05
1.164064884185791,-0.647,0.199,-0.086,0.838,9.8796e-05
1.163473129272461,-0.685,0.119,-0.089,0.844,9.8726e-05
1.1622490882873535,-0.685,0.135,-0.083,0.858,9.8655e-05
1.1649365425109863,-0.704,0.177,-0.065,0.886,9.8582e-05
1.1633210182189941,-0.830,0.162,-0.031,0.935,9.8506e-05
1.1811680793762207,-0.708,0.178,0.014,1.000,9.8429e-05
1.1631748676300049,-0.804,0.116,0.075,1.082,9.8350e-05
1.1656131744384766,-0.840,0.144,0.111,1.120,9.8269e-05
1.1658401489257812,-0.871,0.085,0.136,1.149,9.8186e-05
1.1635801792144775,-0.871,0.101,0.136,1.153,9.8101e-05
1.1623435020446777,-0.834,0.107,0.131,1.151,9.8015e-05
1.1634631156921387,-0.753,0.186,0.106,1.126,9.7926e-05
1.1630516052246094,-0.852,0.152,0.094,1.107,9.7836e-05
1.1628532409667969,-0.852,0.143,0.064,1.062,9.7743e-05
2.8050320148468018,-0.924,0.072,0.014,0.987,9.7649e-05
1.1647570133209229,-0.898,0.134,-0.025,0.922,9.7553e-05
1.1646666526794434,-1.085,0.069,-0.044,0.884,9.7455e-05
